title,author,date,abstract,column,url
Our culture is not your frat party,Cultural Organizations Coming Together ,2022-05-12,"Selective social groups, unaffiliated or not, need more transparency in their systems to address racism, sexism, homophobia, xenophobia, ableism and sexual assault. ",GUEST COLUMNS,https://www.dukechronicle.com/article/2022/05/051222-student-group-demands-ifc
Editor's note: Regarding 2022 student Commencement speaker's time on The Chronicle,Milla Surjadi ,2022-05-11,A review of Parkash's published stories for The Chronicle found no evidence of plagiarism. ,EDITORS NOTE,https://www.dukechronicle.com/article/2022/05/editors-note-2022-student-commencement-speaker-time-on-the-chronicle
Letter to the Editor: Statement from 2022 student Commencement speaker,Priya Parkash ,2022-05-10,"This statement was sent to The Chronicle on behalf of Parkash by Dave Quast, senior vice president of Red Banyan, a crisis public relations firm. ",LETTERS TO THE EDITOR,https://www.dukechronicle.com/article/2022/05/duke-university-priya-parkash-letter-to-the-editor-commencement-student-speaker-speech-2022-statement
Letter: Thank you from Duke alumna,Amy Unell ,2022-05-03,"Although I recently resigned from my role as Senior Director of Arts Engagement and Partnerships, I will always be a champion of the arts, DEMAN, StudioDuke and your friend.",LETTERS TO THE EDITOR,https://www.dukechronicle.com/article/2022/05/duke-university-alumna-amy-unell-deman-studio-duke
The exclusivity of studying abroad at Duke,Kaylin Hernández ,2022-04-26,Duke University and the Global Education Office (GEO) should offer more diverse study abroad programs in Latin America and the Caribbean to better reflect the Latinx/Latine student body instead of overemphasizing Spain.,GUEST COLUMNS,https://www.dukechronicle.com/article/2022/04/042622-hernandez-guest
Duke learning is transactional; how we can do better,Grace Dessert ,2022-04-26,"One of my favorite professors, Dr. Malone, once asked me, “Are you a stat, or a story?”",GUEST COLUMNS,https://www.dukechronicle.com/article/2022/04/042622-dessert-grad-grading-stem
An open letter to Inside Joke,Anna Shenk-Evans ,2022-04-25,"In that video, Inside Joke was not only equating Lia Thomas to a man, but also invalidating the existence and successes of all trans athletes.",GUEST COLUMNS,https://www.dukechronicle.com/article/2022/04/042522-shenk-evans-guest
"Tsundoku, Gatsby, Marshmallows, Me",Jocelyn Chin ,2022-04-24,"I wonder if I have problems prioritizing as I balance on scales, watch my weight drop, know it’s the cost of saving each HEERF fund, stimulus check, meal stipend, the cost of piling books on my windowsill instead.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/04/042322-chin-books-nyc-consumption
Advice for the future CEB,Community Editorial Board ,2022-04-22,"We are proud to announce that, this semester, our articles got ""increasingly worse.""",STUDENT VOICES COMMUNITY EDITORIAL BOARD,https://www.dukechronicle.com/article/2022/04/042222-ceb
My two cents on a two minute decision,Linda Cao ,2022-04-21,"We treat our doctors with pride and appreciation, but there’s a very heavy burden that follows the letters D and r.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/04/042122-cao-vaught-healthcare-system
Let’s liberate the liberal arts,Community Editorial Board ,2022-04-20,"Fundamentally, the liberal arts must be, in a word, ‘liberal’—that is characterized by freedom of choice.",STUDENT VOICES COMMUNITY EDITORIAL BOARD,https://www.dukechronicle.com/article/2022/04/04202022-ceb
Feeling,Margot Armbruster ,2022-04-20,"Just as I’m gentle on my knee so my knee supports my hip, I can maintain, as life continues, that all my seasons may count for me sometime. ",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/04/feeling
Better late than never,Nithin Ragunathan ,2022-04-20,"It’s natural to have regrets in life, but as The Chronicle chapter comes to a close, I only have one: Why didn’t I start sooner?",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/04/better-late-than-never
Why I watch sports,Evan Kolin ,2022-04-20,"I’ve been a sports fan my entire life, but I’ll be the first to admit that I’ve never been as interested in the Xs and Os on the court or field as a lot of my peers.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/04/why-i-watch-sports
Letting in the light,Matthew Griffin ,2022-04-20,"As I look back on my time on this campus built to let in sunlight, I’m aware of what a privilege it’s been to spend my college career illuminating Duke and its community. ",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/04/letting-in-the-light
Like all good things,Leah Boyd ,2022-04-20,"And the moment I stared out the window at the Chapel, my head swimming with memories instead of stress about the week ahead, I knew it was time for the end.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/04/like-all-good-things
I just want to say thank you,Jake C. Piazza ,2022-04-20,"If there’s one thing I’ve learned from The Chronicle, it’s that you never know when a lifelong memory is going to fall into your lap.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/04/i-just-want-to-say-thank-you
For a better Duke,Nadia Bey ,2022-04-20,"Sure, we love Duke Athletics and we love when Duke moves up a place in some arbitrary ranking system and we love when our researchers make new discoveries, but holding the University accountable is a form of love, too.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/04/for-a-better-duke
Duke’s obligation to support the student-led solution to sexual assault,Community Editorial Board ,2022-04-19,"Whether or not Duke has been looking for a solution to sexual assault on campus, SHAPE has done the heavy lifting for them. ",STUDENT VOICES COMMUNITY EDITORIAL BOARD,https://www.dukechronicle.com/article/2022/04/04192022-ceb-dukes-obligation-to-support-the-student-led-solution-to-sexual-assault-duke-shape
Here goes a photographer's attempt to write,Simran Prakash ,2022-04-19,"Over the years, I grew from someone who did not even know what to do with my new camera, only fascinated by the power of the iPhone 6 camera, into a girl whose entire life revolves around photography. I thank The Chronicle so deeply for that. ",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/04/here-goes-a-photographers-attempt-to-write
I love Duke,Ramona Naseri ,2022-04-19,"It’s okay that I don’t know what’s happening next, because that means I can finally write this next chapter myself. And if there’s one thing writing for The Chronicle has taught me: it’s writing. ",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/04/i-love-duke
Thank you for the lessons,Maria Morrison ,2022-04-19,"I’ve always felt that the office was a safe space, somewhere I could come to find those who would share in my joys or sorrows in equal measure. I feel genuinely loved, which is such a beautiful thing that is easy to take for granted.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/04/thank-you-for-the-lessons
